Subgroup,SubgroupCount,ProteinCluster
0_AYPZ01000005_Rhodobacter_capsulatus_YW2,26,0_AYPZ01000005_Rhodobacter_capsulatus_YW2=_weight-5.42E+2_
0_AYPZ01000005_Rhodobacter_capsulatus_YW2,26,0_AYPZ01000005_Rhodobacter_capsulatus_YW2=_weight-7.04E+0_
0_AYPZ01000005_Rhodobacter_capsulatus_YW2,26,0_AYPZ01000005_Rhodobacter_capsulatus_YW2=_weight-7.58E+6_
0_Alex_ape,20,0_Alex_ape=_weight-1.28E+1_
0_Alex_ape,20,0_Alex_ape=_weight-1.44E+1_
0_Alex_ape,20,0_Alex_ape=_weight-1.97E+3_
0_Alex_ape,20,0_Alex_ape=_weight-2.56E+1_
0_Alex_ape,20,0_ADEG01000016_Prevotella_buccalis_ATCC_35310=_weight-9.55E+12_
0_Alex_ape,20,0_Alex_ape=_weight-3.84E+8_
0_Alex_ape,20,0_Alex_ape=_weight-3.93E-1_
0_Alex_ape,20,0_Alex_ape=_weight-7.25E+8_
0_Alex_ape,20,0_Alex_ape=_weight-8.31E+1_
0_Alpavirinae_MH572525,1,0_Alpavirinae_MH572525=_VP1
0_Alpavirinae_MH572525,1,0_Alpavirinae_MH572525=_VP2
0_Alpavirinae_MH572525,1,0_Alpavirinae_MH572525=_VP4
0_Alpavirinae_MH572525,1,0_Alpavirinae_MH572525=_weight-1.07E-1_
0_Alpavirinae_MH572525,1,0_Alpavirinae_MH572525=_weight-1.11E+2_
0_Alpavirinae_MH572525,1,0_Alpavirinae_MH572525=_weight-1.22E+2_
0_Alpavirinae_MH572525,1,0_Alpavirinae_MH572525=_weight-1.58E+2_
0_Alpavirinae_MH572525,1,0_Alpavirinae_MH572525=_weight-4.39E+0_
0_Alpavirinae_MH572525,1,0_Alpavirinae_MH572525=_weight-4.88E+6_
0_Alpavirinae_MH572525,1,0_Alpavirinae_MH572525=_weight-7.06E+2_
0_Alpavirinae_MH572526,1,0_Alpavirinae_MH572525=_VP1
0_Alpavirinae_MH572526,1,0_Alpavirinae_MH572526=_VP2
0_Alpavirinae_MH572526,1,0_Alpavirinae_MH572526=_VP4
0_Alpavirinae_MH572526,1,0_Alpavirinae_MH572526=_weight-1.02E+1_
0_Alpavirinae_MH572526,1,0_Alpavirinae_MH572526=_weight-1.11E+3_
0_Alpavirinae_MH572526,1,0_Alpavirinae_MH572526=_weight-2.11E+0_
0_Alpavirinae_MH572526,1,0_Alpavirinae_MH572525=_weight-1.58E+2_
0_Alpavirinae_MH572526,1,0_Alpavirinae_MH572525=_weight-4.88E+6_
0_Amyovirinae_JX904102_1,1,0_Amyovirinae_JX904102_1=_VP1
0_Amyovirinae_JX904102_1,1,0_Amyovirinae_JX904102_1=_VP4
0_Amyovirinae_JX904102_1,1,0_Amyovirinae_JX904102_1=_weight-2.00E+1_
0_Amyovirinae_JX904102_1,1,0_Amyovirinae_JX904102_1=_weight-2.50E+3_
0_Amyovirinae_JX904102_1,1,0_Amyovirinae_JX904102_1=_weight-5.05E+0_
0_Amyovirinae_JX904102_1,1,0_Amyovirinae_JX904102_1=_weight-6.60E+0_
0_Amyovirinae_JX904102_1,1,0_Amyovirinae_JX904102_1=_weight-8.86E-2_
0_Amyovirinae_MG214764,8,0_Amyovirinae_MG214764=_
0_Amyovirinae_MG214764,8,0_Amyovirinae_MG214764=_1
0_Amyovirinae_MG214764,8,0_Amyovirinae_MG214764=_2
0_Amyovirinae_MG214764,8,0_Amyovirinae_MG214764=_VP1
0_Amyovirinae_MG214764,8,0_Amyovirinae_JX904102_1=_VP4
0_Aravirinae_KM589500,2,0_AAIAHK010000044_Campylobacter_jejuni=_weight-1.44E+14_
0_Aravirinae_KM589500,2,0_Aravirinae_KM589500=_VP2
0_Aravirinae_KM589500,2,0_Aravirinae_KM589500=_VP4
0_Aravirinae_KM589500,2,0_Aravirinae_KM589500=_weight-1.40E+3_
0_Aravirinae_KM589500,2,0_Aravirinae_KM589500=_weight-5.92E-2_
0_Aravirinae_KM589500,2,0_Aravirinae_KM589500=_weight-8.73E-2_
0_Aravirinae_KM589503,2,0_AAIAHK010000044_Campylobacter_jejuni=_weight-1.44E+14_
0_Aravirinae_KM589503,2,0_Aravirinae_KM589503=_VP2
0_Aravirinae_KM589503,2,0_Aravirinae_KM589503=_VP4
0_Aravirinae_KM589503,2,0_Aravirinae_KM589503=_weight-1.34E+1_
0_Aravirinae_KM589503,2,0_Aravirinae_KM589503=_weight-1.94E+0_
0_Aravirinae_KM589503,2,0_Aravirinae_KM589503=_weight-3.22E+2=_VP3_
0_Aravirinae_KM589503,2,0_Aravirinae_KM589503=_weight-4.59E+0_
0_Aravirinae_KM589503,2,0_Aravirinae_KM589503=_weight-4.79E+1_
0_Aravirinae_KM589504,8,0_AAIAHK010000044_Campylobacter_jejuni=_weight-1.44E+14_
0_Aravirinae_KM589504,8,0_Aravirinae_KM589504=_VP2
0_Aravirinae_KM589504,8,0_Aravirinae_KM589500=_VP4
0_Aravirinae_KM589504,8,0_Aravirinae_KM589504=_weight-1.32E+3=_VP3_
0_Aravirinae_KM589504,8,0_Aravirinae_KM589504=_weight-7.22E+1_
0_Aravirinae_KM589505,2,0_AAIAHK010000044_Campylobacter_jejuni=_weight-1.44E+14_
0_Aravirinae_KM589505,2,0_Aravirinae_KM589505=_VP4
0_Aravirinae_KM589505,2,0_Aravirinae_KM589505=_weight-1.70E+7=_VP2_
0_Aravirinae_KM589505,2,0_Aravirinae_KM589505=_weight-2.36E+3=_VP3_
0_Aravirinae_KM589505,2,0_Aravirinae_KM589505=_weight-2.52E+2_
0_Aravirinae_KM589505,2,0_Aravirinae_KM589505=_weight-2.52E-1_
0_Aravirinae_KM589505,2,0_Aravirinae_KM589505=_weight-7.43E+0_
0_Aravirinae_KM589504,8,0_Aravirinae_KM589509=_weight-1.25E+1_
0_Aravirinae_KM589504,8,0_Aravirinae_KM589509=_weight-1.88E+0_
0_Aravirinae_KM589504,8,0_Aravirinae_KM589509=_weight-2.88E+2=_VP3_
0_Aravirinae_KM589504,8,0_Aravirinae_KM589510=_weight-1.09E+2_
0_Aravirinae_KM589504,8,0_Aravirinae_KM589510=_weight-1.20E+3=_VP3_
0_Aravirinae_KM589504,8,0_Aravirinae_KM589510=_weight-1.24E+1_
0_Aravirinae_KM589504,8,0_Aravirinae_KM589510=_weight-2.35E+0_
0_Aravirinae_KM589504,8,0_Aravirinae_KM589512=_weight-2.45E+2_
0_Aravirinae_KM589504,8,0_Aravirinae_KM589512=_weight-4.14E+3=_VP3_
0_BGZO01000070_Candidatus_Margulisbacteria_bacterium,2,0_BGZO01000070_Candidatus_Margulisbacteria_bacterium=_weight-1.01E+1_
0_BGZO01000070_Candidatus_Margulisbacteria_bacterium,2,0_BGZO01000070_Candidatus_Margulisbacteria_bacterium=_weight-1.03E+1_
0_BGZO01000070_Candidatus_Margulisbacteria_bacterium,2,0_BGZO01000070_Candidatus_Margulisbacteria_bacterium=_weight-2.47E+1_
0_BGZO01000070_Candidatus_Margulisbacteria_bacterium,2,0_BGZO01000070_Candidatus_Margulisbacteria_bacterium=_weight-2.59E+3_
0_BGZO01000070_Candidatus_Margulisbacteria_bacterium,2,0_BGZO01000070_Candidatus_Margulisbacteria_bacterium=_weight-6.01E+3_
0_BGZO01000070_Candidatus_Margulisbacteria_bacterium,2,0_AAIAHK010000044_Campylobacter_jejuni=_weight-1.44E+14_
0_BGZO01000070_Candidatus_Margulisbacteria_bacterium,2,0_BGZO01000070_Candidatus_Margulisbacteria_bacterium=_weight-6.49E+4_
0_BGZO01000070_Candidatus_Margulisbacteria_bacterium,2,0_BGZO01000070_Candidatus_Termititenax_persephonae=_weight-1.19E+3_
0_BGZO01000070_Candidatus_Margulisbacteria_bacterium,2,0_BGZO01000070_Candidatus_Termititenax_persephonae=_weight-2.15E+2_
0_AYPZ01000005_Rhodobacter_capsulatus_YW2,26,0_Bullavirinae_NC_001420=_weight-2.63E-1_
0_AYPZ01000005_Rhodobacter_capsulatus_YW2,26,0_Bullavirinae_NC_001420=_weight-5.85E-2_
0_CAIY01000022_Richelia_intracellularis_HH01_fragment,1,0_BGZO01000070_Candidatus_Margulisbacteria_bacterium=_weight-6.49E+4_
0_CAIY01000022_Richelia_intracellularis_HH01_fragment,1,0_CAIY01000022_Richelia_intracellularis_HH01_fragment=_weight-1.27E+2_
0_CAIY01000022_Richelia_intracellularis_HH01_fragment,1,0_CAIY01000022_Richelia_intracellularis_HH01_fragment=_weight-2.33E+1_
0_CAIY01000022_Richelia_intracellularis_HH01_fragment,1,0_CAIY01000022_Richelia_intracellularis_HH01_fragment=_weight-4.45E+1_
0_CAIY01000022_Richelia_intracellularis_HH01_fragment,1,0_CAIY01000022_Richelia_intracellularis_HH01_fragment=_weight-8.67E+2_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CCAB010000112_Elizabethkingia_anophelis_fragment=_weight-1.20E+0_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CCAB010000112_Elizabethkingia_anophelis_fragment=_weight-1.32E+0_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CCAB010000112_Elizabethkingia_anophelis_fragment=_weight-1.45E+0_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_AAIAHK010000044_Campylobacter_jejuni=_weight-1.44E+14_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CCAB010000112_Elizabethkingia_anophelis_fragment=_weight-1.77E-1_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_Aravirinae_KM589500=_VP4
0_CGM_MH572490,1,0_CGM_MH572490=_VP1
0_CGM_MH572490,1,0_CGM_MH572490=_VP4
0_CGM_MH572490,1,0_CGM_MH572490=_weight-1.02E+0_
0_CGM_MH572490,1,0_CGM_MH572490=_weight-1.09E+0_
0_CGM_MH572490,1,0_CGM_MH572490=_weight-1.43E-1_
0_CGM_MH572490,1,0_CGM_MH572490=_weight-2.53E+3_
0_CGM_MH572490,1,0_CGM_MH572490=_weight-2.65E+2_
0_CGM_MH572490,1,0_CGM_MH572490=_weight-7.07E+1_
0_CGM_MH572490,1,0_CGM_MH572490=_weight-7.73E+2=_VP2_
0_CGM_MH572491,1,0_CGM_MH572490=_VP1
0_CGM_MH572491,1,0_CGM_MH572491=_VP4
0_CGM_MH572491,1,0_CGM_MH572491=_weight-1.51E+0_
0_CGM_MH572491,1,0_CGM_MH572491=_weight-1.74E+4=_VP2_
0_CGM_MH572491,1,0_CGM_MH572491=_weight-2.22E+0_
0_CGM_MH572491,1,0_CGM_MH572491=_weight-3.76E-1_
0_CGM_MH572491,1,0_CGM_MH572491=_weight-4.14E+1_
0_CGM_MH572491,1,0_CGM_MH572491=_weight-8.89E+2_
0_CGM_MH572491,1,0_CGM_MH572491=_weight-9.49E+2_
0_CGM_MH572517,2,0_CGM_MH572490=_VP1
0_CGM_MH572517,2,0_CGM_MH572517=_VP4
0_CGM_MH572517,2,0_CGM_MH572517=_weight-1.12E+0_
0_CGM_MH572517,2,0_CGM_MH572517=_weight-2.53E+1_
0_CGM_MH572517,2,0_CGM_MH572517=_weight-2.59E+3=_VP2_
0_CGM_MH572517,2,0_CGM_MH572517=_weight-3.00E+0_
0_CGM_MH572517,2,0_CGM_MH572517=_weight-6.99E+2_
0_CGM_MH572517,2,0_CGM_MH572517=_weight-8.40E-1_
0_CGM_MH572517,2,0_CGM_MH572518=_weight-2.10E-1_
0_CGM_MH572517,2,0_CGM_MH572518=_weight-2.55E+2_
0_CGM_MH572519,1,0_CGM_MH572490=_VP1
0_CGM_MH572519,1,0_CGM_MH572519=_VP2
0_CGM_MH572519,1,0_CGM_MH572517=_VP4
0_CGM_MH572519,1,0_CGM_MH572519=_weight-1.88E-1_
0_CGM_MH572519,1,0_CGM_MH572519=_weight-2.00E-1_
0_CGM_MH572519,1,0_CGM_MH572519=_weight-2.14E+2_
0_CGM_MH572519,1,0_CGM_MH572519=_weight-3.13E+0_
0_CGM_MH572519,1,0_CGM_MH572519=_weight-3.43E+1_
0_CGM_MH572519,1,0_CGM_MH572519=_weight-4.25E-1_
0_CGM_MH572519,1,0_CGM_MH572519=_weight-4.46E+1_
0_CGM_MH572520,1,0_CGM_MH572490=_VP1
0_CGM_MH572520,1,0_CGM_MH572520=_VP2
0_CGM_MH572520,1,0_CGM_MH572517=_VP4
0_CGM_MH572520,1,0_CGM_MH572520=_weight-1.04E+2_
0_CGM_MH572520,1,0_CGM_MH572520=_weight-1.12E+3_
0_CGM_MH572520,1,0_CGM_MH572520=_weight-2.87E+0_
0_CGM_MH572520,1,0_CGM_MH572520=_weight-3.04E+0_
0_CGM_MH572520,1,0_CGM_MH572520=_weight-8.53E+1_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP014339_Elizabethkingia_anophelis=_weight-1.22E-1_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP014339_Elizabethkingia_anophelis=_weight-1.55E+0_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP014339_Elizabethkingia_anophelis=_weight-1.93E+0_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP014339_Elizabethkingia_anophelis=_weight-2.50E+8_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP014339_Elizabethkingia_anophelis=_weight-3.17E-1_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP014339_Elizabethkingia_anophelis=_weight-3.49E+3_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP014339_Elizabethkingia_anophelis=_weight-4.41E+0_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP014339_Elizabethkingia_anophelis=_weight-5.14E-2_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP014339_Elizabethkingia_anophelis=_weight-5.27E+3_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP014339_Elizabethkingia_anophelis=_weight-9.37E+0_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP014339_Elizabethkingia_anophelis=_weight-9.52E-1_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP016373_Elizabethkingia_anophelis=_weight-1.31E+0_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP016373_Elizabethkingia_anophelis=_weight-1.38E+1_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP016373_Elizabethkingia_anophelis=_weight-1.40E+0_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP016373_Elizabethkingia_anophelis=_weight-2.58E+0_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP016373_Elizabethkingia_anophelis=_weight-4.65E-2_
0_CCAB010000112_Elizabethkingia_anophelis_fragment,10,0_CP016373_Elizabethkingia_anophelis=_weight-7.37E-2_
0_CP019307_Phaeobacter_inhibens,1,0_CP019307_Phaeobacter_inhibens=_weight-1.27E+7_
0_CP019307_Phaeobacter_inhibens,1,0_CP019307_Phaeobacter_inhibens=_weight-1.60E+4_
0_CP019307_Phaeobacter_inhibens,1,0_CP019307_Phaeobacter_inhibens=_weight-1.79E+1_
0_CP019307_Phaeobacter_inhibens,1,0_CP019307_Phaeobacter_inhibens=_weight-1.80E-1_
0_CP019307_Phaeobacter_inhibens,1,0_CP019307_Phaeobacter_inhibens=_weight-2.13E+0_
0_CP019307_Phaeobacter_inhibens,1,0_CP019307_Phaeobacter_inhibens=_weight-2.15E+4_
0_CP019307_Phaeobacter_inhibens,1,0_CP019307_Phaeobacter_inhibens=_weight-2.58E+2_
0_CP019307_Phaeobacter_inhibens,1,0_CP019307_Phaeobacter_inhibens=_weight-2.68E+0_
0_CP019307_Phaeobacter_inhibens,1,0_CP019307_Phaeobacter_inhibens=_weight-3.15E+0_
0_CP019307_Phaeobacter_inhibens,1,0_CGM_MH572490=_VP1
0_CP019307_Phaeobacter_inhibens,1,0_CP019307_Phaeobacter_inhibens=_weight-4.56E+0_
0_CP019307_Phaeobacter_inhibens,1,0_CP019307_Phaeobacter_inhibens=_weight-8.37E+0_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP032923_Agrobacterium_tumefaciens=_weight-1.11E+0_
0_CP032923_Agrobacterium_tumefaciens,7,0_CGM_MH572490=_VP1
0_CP032923_Agrobacterium_tumefaciens,7,0_CP032923_Agrobacterium_tumefaciens=_weight-1.21E-1_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP032923_Agrobacterium_tumefaciens=_weight-1.36E+0_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP032923_Agrobacterium_tumefaciens=_weight-1.49E-1_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP032923_Agrobacterium_tumefaciens=_weight-1.50E+2_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP032923_Agrobacterium_tumefaciens=_weight-1.76E+3_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP032923_Agrobacterium_tumefaciens=_weight-1.90E+0_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP019307_Phaeobacter_inhibens=_weight-2.15E+4_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP032923_Agrobacterium_tumefaciens=_weight-1.93E+1_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP032923_Agrobacterium_tumefaciens=_weight-2.07E+0_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP032923_Agrobacterium_tumefaciens=_weight-2.35E+0_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP019307_Phaeobacter_inhibens=_weight-1.27E+7_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP032923_Agrobacterium_tumefaciens=_weight-3.26E-1_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP032923_Agrobacterium_tumefaciens=_weight-7.06E+0_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1=_weight-1.01E+1_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1=_weight-1.02E+3_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1=_weight-1.05E-1_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1=_weight-1.29E+0_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1=_weight-1.64E-1_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1=_weight-2.59E-1_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1=_weight-2.95E+0_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1=_weight-3.35E+0_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1=_weight-3.94E-1_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1=_weight-4.56E+0_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CP019307_Phaeobacter_inhibens=_weight-2.15E+4_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1=_weight-6.15E+0_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CP019307_Phaeobacter_inhibens=_weight-1.27E+7_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1=_weight-7.77E+1_
0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1,38,0_CGM_MH572490=_VP1
0_CP032923_Agrobacterium_tumefaciens,7,0_CP039888_Agrobacterium_tumefaciens=_weight-1.24E+1_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP039888_Agrobacterium_tumefaciens=_weight-3.14E+0_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1=_weight-1.02E+3_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP039888_Agrobacterium_tumefaciens=_weight-5.84E+2_
0_CP032923_Agrobacterium_tumefaciens,7,0_CP039888_Agrobacterium_tumefaciens=_weight-9.33E-2_
0_CP041230_Bacteroides_xylanisolvens,12,0_CP041230_Bacteroides_xylanisolvens=_weight-1.29E+1_
0_CP041230_Bacteroides_xylanisolvens,12,0_CP041230_Bacteroides_xylanisolvens=_weight-1.80E+1_
0_CP041230_Bacteroides_xylanisolvens,12,0_CP041230_Bacteroides_xylanisolvens=_weight-1.87E+2_
