"# Table S1: Curated Microvirus Genomes, plus additional Obscuriviridae",,,,,,,,,,,
Genome designation,Reported Source,Source Attribution for Analyses,GC content,Sequence Length (nt),Phylum,Class,Order,Family,Genus,Genus CRISPR prediction,CRISPR Prediction Correct?
Family10_MK496698,Capybara,Other mammal,34,5735,,,,,,,
Family10_MK496704,Capybara,Other mammal,37,5610,,,,,,,
Family10_MK496705,Capybara,Other mammal,40,5562,,,,,,,
Family10_MK496707,Capybara,Other mammal,37,5508,,,,,,,
Family10_MK496709,Capybara,Other mammal,31,5489,,,,,,,
Family10_MK496713,Capybara,Other mammal,31,5316,,,,,,,
Family10_MK496721,Capybara,Other mammal,37,5207,,,,,,,
Family10_MK496729,Capybara,Other mammal,42,5067,,,,,,,
Family10_MK496760,Capybara,Other mammal,35,6415,,,,,,,
Family10_MK496770,Capybara,Other mammal,33,5869,,,,,,,
Family10_MK496771,Capybara,Other mammal,33,5809,,,,,,,
Family10_MK496772,Capybara,Other mammal,32,5694,,,,,,,
Family10_MK496773,Capybara,Other mammal,32,5664,,,,,,,
Family10_MK496776,Capybara,Other mammal,36,5576,,,,,,,
Family10_MK496777,Capybara,Other mammal,36,5559,,,,,,,
Family10_MK496780,Capybara,Other mammal,29,5529,,,,,,,
Family10_MK496781,Capybara,Other mammal,48,5518,,,,,,,
Family10_MK496782,Capybara,Other mammal,42,5415,,,,,,,
Family10_MK496783,Capybara,Other mammal,35,5402,,,,,,,
Family10_MK496786,Capybara,Other mammal,37,5319,,,,,,,
Family11_Bacteroides_Shkoporov_5902,Human,Primate,42,5902,,,,,,,
Family11_Lim_Twin_A2_NODE_150_length_5953_cov_27954171,Human,Primate,45,5955,,,,,,,
Family11_MG883724,Cow,Other mammal,45,5770,,,,,,,
Family11_MG945133,Pig,Other mammal,40,6038,,,,,,,
Family11_MG945155,Cow,Other mammal,47,6213,,,,,,,
Family11_MG945236,Cow,Other mammal,41,5200,,,,,,,
Family11_MG945264,Alces alces,Other mammal,52,6084,,,,,,,
Family11_MG945281,Alces alces,Other mammal,44,5913,,,,,,,
Family11_MG945294,Pig,Other mammal,43,5424,,,,,,,
Family11_MG945345,Pig,Other mammal,40,5345,,,,,,,
Family11_MG945414,Pig,Other mammal,42,5836,,,,,,,
Family11_MG945445,Pig,Other mammal,41,5824,,,,,,,
Family11_MG945460,Macaque,Primate,37,5417,,,,,,,
Family11_MG945496,Pig,Other mammal,41,5427,,,,,,,
Family11_MG945522,Cow,Other mammal,37,5707,,,,,,,
Family11_MG945578,Pig,Other mammal,41,5840,,,,,,,
Family11_MG945606,Macaque,Primate,44,6082,,,,,,,
Family11_MG945611,Pig,Other mammal,41,5849,,,,,,,
Family11_MG945622,Pan troglodytes,Primate,41,5419,,,,,,,
Family11_MG945625,Cow,Other mammal,42,5743,,,,,,,
Family11_MG945629,Cow,Other mammal,45,5721,,,,,,,
Family11_MG945632,Cow,Other mammal,44,5884,,,,,,,
Family11_MG945633,Cow,Other mammal,46,5695,,,,,,,
Family11_MG945690,Yak,Other mammal,41,5900,,,,,,,
Family11_MG945724,Pig,Other mammal,41,5100,,,,,,,
Family11_MG945732,Pig,Other mammal,40,6116,,,,,,,
Family11_MG945818,Pig,Other mammal,42,5492,,,,,,,
Family11_MG945822,Cow,Other mammal,35,5051,,,,,,,
Family11_MG945830,Pig,Other mammal,42,5614,,,,,,,
Family11_MG945847,Primate,Primate,43,5557,,,,,,,
Family11_MG945901,Cow,Other mammal,35,5823,,,,,,,
Family11_MH552516,Macaque,Primate,41,6336,,,,,,,
Family11_MH616950,Macaque,Primate,34,4728,,,,,,,
Family11_MH617198,Macaque,Primate,43,6080,,,,,,,
Family11_MK496692,Capybara,Other mammal,47,5869,,,,,,,
Family11_Monaco_MBA1747_NODE_306_length_6463_cov_838961610,Human,Primate,41,6463,,,,,,,
Family11_Norman_108_NODE_16_length_6307_cov_18655950,Human,Primate,40,6307,,,,,,,
Family11_Shkoporov_6109,Human,Primate,40,6109,,,,,,,
Family11_SJXE01000021_Corallincola_sp_DASS28,Marine sediment MAG,Sediment/soil,41,6102,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Corallincola,,
Family11_Yinda_HP41_trimmed_NODE_84_length_5539_cov_17089898,Human,Primate,43,5539,,,,,,,
Family11_Yinda_HP41_trimmed_NODE_96_length_5153_cov_348988623,Human,Primate,39,5153,,,,,,,
Family12_MG945894,Dog,Other mammal,36,6927,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_MH510273,Macaque,Primate,37,6444,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_MH617310,Macaque,Primate,39,6846,,,,,,,
Family12_MH617627,Macaque,Primate,37,6955,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Monaco_MBA1742_NODE_41_length_6543_cov_41062423,Human,Primate,38,6410,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Norman_108_NODE_12_length_6696_cov_34068815,Human,Primate,37,6696,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Norman_110_NODE_9_length_6763_cov_14889088,Human,Primate,36,6765,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Norman_112_NODE_12_length_6858_cov_105990445,Human,Primate,38,6860,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Norman_134_NODE_24_length_6526_cov_443474888,Human,Primate,38,6528,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Norman_139_NODE_16_length_6691_cov_3712290687,Human,Primate,39,6691,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Norman_155_NODE_8_length_7022_cov_473131190,Human,Primate,37,7022,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Pseudomonas_CP050055,Unknown,Unknown,37,6313,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,
Family12_Reyes_2015_F121_T2_NODE_36_length_7060_cov_6397663,Human,Primate,38,7062,,,,,,,
Family12_Reyes_2015_F196_M_NODE_14_length_6792_cov_6783646,Human,Primate,36,6792,,,,,,,
Family12_Reyes_2015_F196_M_NODE_17_length_6507_cov_11099687,Human,Primate,36,6509,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Reyes_2015_F23_T2_NODE_18_length_6781_cov_7043282,Human,Primate,35,6781,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Reyes_2015_F284_M_NODE_3_length_6774_cov_9453438,Human,Primate,39,6774,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Reyes_2015_F37_T1_NODE_33_length_6255_cov_7731070,Human,Primate,37,6255,,,,,,,
Family12_Reyes_2015_F56_Sibling_NODE_9_length_6949_cov_25974348,Human,Primate,39,6949,,,,,,,
Family12_Reyes_2015_F56_T1_NODE_9_length_7122_cov_12437884,Human,Primate,37,7124,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Reyes_2015_F57_Mother_NODE_3_length_7270_cov_11087638,Human,Primate,37,7272,,,,,,,
Family12_Reyes_2015_F57_Mother_NODE_4_length_7085_cov_67967951,Human,Primate,38,7087,,,,,,,
Family12_Salmonella_Reyes_2015_F194_T2_NODE_11_length_8779_cov_158673601,Human,Primate,38,6969,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Shkoporov_5753,Human,Primate,37,5753,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Shkoporov_6523,Human,Primate,37,6523,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Shkoporov_6536,Human,Primate,37,6536,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Shkoporov_6674,Human,Primate,37,6674,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Shkoporov_6832,Human,Primate,37,6832,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Shkoporov_7026,Human,Primate,37,7026,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_Shkoporov_7169,Human,Primate,37,7169,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family12_SNQI01000008_Gramella_jeungdoensis,Solar saltern,Unknown,36,6302,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,Prevotella,no
Family12_Yinda_HP41_trimmed_NODE_49_length_7029_cov_285062375,Human,Primate,36,7029,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,n/a
Family13_associated_MG945275,Alces alces,Other mammal,44,6914,,,,,,,
Family13_associated_MK496683,Capybara,Other mammal,35,6391,,,,,,,
Family13_associated_MK496761,Capybara,Other mammal,35,6394,,,,,,,
Family13_MG945184,Cow,Other mammal,36,5588,,,,,,,
Family13_MG945189,Pig,Other mammal,42,5961,,,,,,,
Family13_MG945214,Pig,Other mammal,41,5746,,,,,,,
Family13_MG945230,Pig,Other mammal,34,5631,,,,,,,
Family13_MG945395,Pig,Other mammal,40,5791,,,,,,,
Family13_MG945408,Pig,Other mammal,40,6522,,,,,,,
Family13_MG945421,Pig,Other mammal,38,5975,,,,,,,
Family13_MG945480,Pig,Other mammal,44,5651,,,,,,,
Family13_MG945539,Pig,Other mammal,47,5616,,,,,,,
Family13_MG945696,Pig,Other mammal,45,6170,,,,,,,
Family13_MG945769,Cow,Other mammal,40,6570,,,,,,,
Family13_MG945792,Musk deer,Other mammal,47,5805,,,,,,,
Family13_MG945848,Primate,Primate,44,5830,,,,,,,
Family13_MG945850,Human,Primate,42,5827,,,,,,,
Family13_MG945852,Primate,Primate,44,5830,,,,,,,
Family13_MG945899,Cow,Other mammal,36,6601,,,,,,,
Family13_MH552510,Macaque,Primate,41,6334,,,,,,,
Family13_MH552556,Macaque,Primate,42,5820,,,,,,,
Family13_MH622938,Macaque,Primate,43,6016,,,,,,,
Family13_MK496696,Capybara,Other mammal,40,5779,,,,,,,
Family13_MK496710,Capybara,Other mammal,36,5375,,,,,,,
Family13_MK496711,Capybara,Other mammal,44,5364,,,,,,,
Family13_MK496715,Capybara,Other mammal,37,5291,,,,,,,
Family13_MK496767,Capybara,Other mammal,36,5963,,,,,,,
Family13_MK496768,Pig,Other mammal,42,5957,,,,,,,
Family13_MK496789,Capybara,Other mammal,37,5271,,,,,,,
Family13_Shkoporov_6792,Human,Primate,42,6792,,,,,,,
Family14_Epibacterium_NZ_CP015230,Seawater,Marine,53,5907,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Epibacterium,,
Family14_Epibacterium_NZ_JXYG01000006,Copepod,Marine invertebrate,53,5919,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Epibacterium,,
Family14_JXYG01000006_Epibacterium_mobile,Copepod,Marine invertebrate,53,5910,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Epibacterium,,
Family14_MH617319,Rainbow trout,Freshwater fish,50,6009,,,,,,,
Family14_NZ_AFPM01000156_Oceanicola_S124,Seawater,Marine,61,6778,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola,,
Family14_NZ_JAEFCF010000005_Paracoccus_IB05,Wastewater,Wastewater,58,5519,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Rhodobacter,no
Family14_NZ_LFTY01000002_Candidatus_Rhodobacter_lobularis,Oscarella lobularis,Marine invertebrate,57,7663,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,,
Family14_NZ_MNBW01000014_Nioella_nitratireducens,Surface seawater,Marine,57,5748,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Nioella,,
Family14_NZ_SWKQ01000016_Maritimibacter_LZ17,Alexandrium minutum,Marine,58,6039,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Maritimibacter,,
Family14_Pseudooceanicola_FWFN01000002,Seawater,Marine,58,7039,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola,,
Family14_Pseudooceanicola_NZ_PGTC01000017,Seawater,Marine,58,6991,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola,,
Family14_Rhodobacter_NZ_ACYY01000005,Soil,Sediment/soil,57,6208,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodovulum,no
Family14_Rhodovulum_NZ_AP014801,Marine mud,Sediment/soil,62,6725,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodovulum,,
Family14_Rhodovulum_NZ_CP020384,Mud flat,Sediment/soil,62,6802,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodovulum,,
Family14_Xinfangfangia_NZ_UXAW01000089,Unknown,Unknown,59,6337,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Xinfangfangia,,
Family15_associated_MH552553,Mouse,Other mammal,47,6065,,,,,,,
Family15_Human_feces_A_033,Human,Primate,48,5502,,,,,,,
Family15_Human_feces_D_022,Human,Primate,48,5481,,,,,,,
Family15_Human_gut_31_126,Human,Primate,45,5696,,,,,,,
Family15_Human_gut_32_012,Human,Primate,45,5695,,,,,,,
Family15_Minot_Diet_LF_HF_2016_3_454_NODE_92_length_5822_cov_72307638,Human,Primate,45,5822,,,,,,,
Family15_Monaco_MBA4038_NODE_131_length_5645_cov_174279964,Human,Primate,46,5645,,,,,,,
Family15_Norman_109_NODE_27_length_5564_cov_2338162824,Human,Primate,46,5564,,,,,,,
Family15_Norman_139_NODE_25_length_5841_cov_3289852748,Human,Primate,48,5853,,,,,,,
Family15_Norman_152_NODE_31_length_5749_cov_19550053,Human,Primate,47,5749,,,,,,,
Family15_SCPE01000001_Alistipes_sp,Human,Primate,45,6302,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,,
Family15_Shkoporov_5543,Human,Primate,48,5545,,,,,,,
Family15_Shkoporov_5937,Human,Primate,47,5937,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family15_Shkoporov_6375,Human,Primate,48,6375,,,,,,,
Family16_MG883713,Pig,Other mammal,39,7029,,,,,,,
Family16_MG883721,Pan troglodytes,Primate,43,6257,,,,,,,
Family16_MG945192,Alces alces,Other mammal,36,4816,,,,,,,
Family16_MG945314,Pig,Other mammal,37,6245,,,,,,,
Family16_MG945873,Macaque,Primate,43,6058,,,,,,,
Family16_MG945878,Cow,Other mammal,38,6568,,,,,,,
Family16_MG945881,Cow,Other mammal,42,7244,,,,,,,
Family16_MH648970,Macaque,Primate,43,6249,,,,,,,
Family17_MG883727,Musk deer,Other mammal,38,6488,,,,,,,
Family17_MG945209,Alces alces,Other mammal,38,6680,,,,,,,
Family17_MG945263,Cow,Other mammal,38,4781,,,,,,,
Family17_MG945279,Alces alces,Other mammal,38,6651,,,,,,,
Family17_MG945404,Musk deer,Other mammal,37,6479,,,,,,,
Family17_MG945750,Alces alces,Other mammal,38,6629,,,,,,,
Family17_MG945776,Musk deer,Other mammal,37,6486,,,,,,,
Family17_MG945791,Yak,Other mammal,35,6904,,,,,,,
Family18_Human_gut_30_017,Human,Primate,42,5755,,,,,,,
Family18_LT986678,Human,Primate,40,5752,,,,,,,
Family18_MG945141,Pig,Other mammal,44,5568,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MG945151,Pig,Other mammal,44,5177,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MG945170,Pig,Other mammal,47,5951,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MG945272,Human,Primate,45,5835,,,,,,,
Family18_MG945453,Masked civet,Primate,46,5837,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MG945455,Musk deer,Other mammal,44,5859,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MG945456,Masked civet,Primate,45,5858,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MG945498,Pig,Other mammal,45,5663,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MG945509,Pig,Other mammal,44,5803,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MG945564,Dog,Other mammal,49,5703,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MG945664,Pig,Other mammal,45,6039,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MG945680,Pig,Other mammal,45,5664,,,,,,,
Family18_MG945683,Pig,Other mammal,44,5665,,,,,,,
Family18_MG945713,Pig,Other mammal,45,5882,,,,,,,
Family18_MG945716,Pig,Other mammal,45,5664,,,,,,,
Family18_MG945730,Pig,Other mammal,44,5868,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MG945784,Pig,Other mammal,46,5870,,,,,,,
Family18_MG945790,Pig,Other mammal,45,5914,,,,,,,
Family18_MG945813,Pig,Other mammal,46,5922,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MG945845,Bird,Bird,49,5745,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MK765557,Tortoise,Reptile,44,5554,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MK765655,Tortoise,Reptile,44,5554,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MK765661,Tortoise,Reptile,44,5554,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_MK765667,Tortoise,Reptile,44,5554,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_Norman_101_NODE_41_length_5905_cov_37760171,Human,Primate,46,5907,,,,,,,
Family18_Norman_124_NODE_53_length_6012_cov_417288064,Human,Primate,45,6012,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_Norman_137_NODE_35_length_5955_cov_6203898,Human,Primate,45,5955,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_Norman_155_NODE_13_length_6012_cov_14329193,Human,Primate,45,6012,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family18_Norman_165_NODE_26_length_5723_cov_7377382,Human,Primate,49,5723,,,,,,,
Family18_Norman_25_NODE_25_length_5948_cov_1570322926,Human,Primate,45,5950,,,,,,,
Family18_Norman_67_NODE_8_length_5864_cov_12765020,Human,Primate,49,5864,,,,,,,
Family18_Shkoporov_5768,Human,Primate,41,5768,,,,,,,
Family18_Shkoporov_5807,Human,Primate,41,5807,,,,,,,
Family18_Shkoporov_6081,Human,Primate,41,6083,,,,,,,
Family18_Shkoporov_6259,Human,Primate,41,6259,,,,,,,
Family19_MG945244,Cow,Other mammal,38,6098,,,,,,,
Family19_MG945360,Pig,Other mammal,46,5990,,,,,,,
